Note. A total of 2904 bursts have been collected by the end of March 2022, 
comprising the arrival time, fluences and references/telescopes for  each.
*: For detections where the fluences were not reported in the literature, 
we have used a fluence of 1 Jy ms.

FAST (Xu et al. 2022, Nature, 609, 685)
Burst	TOA (MJD)	Fluece (Jy ms)
1041	59327.31895	0.0818
1042	59327.34464	0.987
1043	59327.34529	1.3317
1044	59327.34599	0.311
1045	59327.34668	0.1086
1046	59327.34951	0.155
1047	59327.35	0.7235
1048	59327.35129	0.387
1049	59328.26498	0.8506
1050	59328.26808	0.0291
1051	59328.26836	0.139
1052	59328.27081	0.5331
1053	59328.27671	0.0405
1054	59328.27701	0.1576
1055	59328.27845	0.6971
1056	59328.27945	0.1019
1057	59328.28431	1.0632
1058	59328.28444	1.383
1059	59328.30734	0.3459
1060	59328.30878	3.7342
1061	59328.30972	0.8757
1062	59328.31218	0.2862
1063	59328.31355	0.9466
1064	59328.31377	0.1234
1065	59328.31561	0.5738
1066	59328.31781	1.6072
1067	59328.32104	0.1682
1068	59328.3215	0.2251
1069	59328.32285	0.5778
1070	59328.32482	2.4357
1071	59328.32482	0.0677
1072	59328.32482	0.3283
1073	59328.32666	4.1104
1074	59328.34865	0.0829
1075	59328.35119	3.0114
1076	59328.35187	2.2248
1077	59328.35205	0.0882
1078	59328.35444	1.2658
1079	59328.35531	0.1424
1080	59328.3574	2.108
1081	59328.35781	0.199
1082	59328.35922	0.4763
1083	59328.35961	0.7936
1084	59328.36316	4.7266
1085	59328.36316	4.0059
1086	59328.36358	0.3773
1087	59328.36391	0.9078
1088	59328.36425	0.6546
1089	59328.36425	0.1048
1090	59328.36521	0.4637
1091	59328.36546	0.0374
1092	59328.3681	0.2576
1093	59328.39096	0.5576
1094	59328.39314	3.4856
1095	59328.39406	0.363
1096	59328.39514	0.4723
1097	59328.3977	0.1714
1098	59328.39822	1.0554
1099	59328.40007	2.8122
1100	59328.40061	1.6861
1101	59328.40062	1.8629
1102	59328.40378	0.7376
1103	59328.40396	0.0474
1104	59328.40407	0.1578
1105	59328.40424	0.4898
1106	59328.40532	0.1525
1107	59328.40558	0.049
1108	59328.40721	1.0171
1109	59328.40913	0.0443
1110	59328.40913	0.7482
1111	59329.37956	0.116
1112	59329.3808	0.3552
1113	59329.3808	1.1317
1114	59329.38247	1.1318
1115	59329.38339	0.5842
1116	59329.38381	8.9234
1117	59329.38496	0.0819
1118	59329.38526	2.5614
1119	59329.38819	2.5206
1120	59329.38864	1.8112
1121	59329.39114	3.5018
1122	59329.39195	0.3522
1123	59329.39439	4.3909
1124	59329.39601	0.2658
1125	59329.39614	1.3186
1126	59329.39687	0.2107
1127	59329.39701	0.2824
1128	59329.3976	0.065
1129	59329.40351	0.3216
1130	59329.40552	1.4021
1131	59329.41238	0.6158
1132	59329.41365	0.4274
1133	59329.41505	0.0386
1134	59329.41544	1.5232
1135	59329.41544	0.9224
1136	59329.41607	0.2277
1137	59329.41722	0.0539
1138	59329.41819	0.7141
1139	59329.42617	2.6312
1140	59329.42628	0.0915
1141	59329.43181	0.2157
1142	59329.4319	0.7114
1143	59329.43273	1.8616
1144	59329.43373	0.3352
1145	59329.4363	0.4512
1146	59329.4363	1.3136
1147	59329.43782	0.2445
1148	59330.24633	0.244
1149	59330.24719	0.0427
1150	59330.24742	0.2291
1151	59330.24818	0.18
1152	59330.24828	0.2141
1153	59330.24839	0.019
1154	59330.2492	1.8746
1155	59330.25322	2.9666
1156	59330.25322	0.8323
1157	59330.25425	0.1658
1158	59330.25619	0.1774
1159	59330.25755	0.3674
1160	59330.25945	1.3285
1161	59330.28269	0.0757
1162	59330.28473	1.0296
1163	59330.28534	0.3002
1164	59330.28622	0.2045
1165	59330.28643	0.1859
1166	59330.28734	2.1109
1167	59330.28857	1.0027
1168	59330.29075	0.0877
1169	59330.29075	0.1611
1170	59330.29139	0.6976
1171	59330.29473	0.3058
1172	59330.29739	0.0261
1173	59330.29739	0.1203
1174	59330.29861	3.633
1175	59330.32439	1.4293
1176	59330.32458	0.8086
1177	59330.32564	2.3602
1178	59330.32696	0.1949
1179	59330.3287	1.9965
1180	59330.32917	0.467
1181	59330.32925	6.0986
1182	59330.33065	6.4882
1183	59330.3317	0.7558
1184	59330.33236	2.5934
1185	59330.33557	0.4
1186	59330.33557	3.5467
1187	59330.3363	0.911
1188	59330.33731	1.7731
1189	59330.33839	0.0403
1190	59330.34009	1.145
1191	59330.3409	3.8117
1192	59330.34104	0.2221
1193	59330.34359	0.2446
1194	59330.3685	0.1115
1195	59330.37428	0.5326
1196	59330.37596	0.9541
1197	59330.37598	0.2242
1198	59331.26315	0.1339
1199	59331.26315	0.389
1200	59331.26371	0.0418
1201	59331.26429	0.2144
1202	59331.26757	0.7232
1203	59331.26855	0.833
1204	59331.26861	0.1638
1205	59331.27115	0.325
1206	59331.27116	3.3939
1207	59331.27262	0.2498
1208	59331.27348	0.7102
1209	59331.27348	0.2778
1210	59331.27441	0.125
1211	59331.27474	2.1565
1212	59331.27622	0.1982
1213	59331.27671	0.0738
1214	59331.27709	2.5254
1215	59331.30691	0.9536
1216	59331.30724	2.3014
1217	59331.30828	0.0883
1218	59331.31314	0.2373
1219	59331.31393	0.2715
1220	59331.31466	0.1864
1221	59331.31653	0.1765
1222	59331.31924	0.652
1223	59331.32108	0.4443
1224	59331.32228	1.3792
1225	59331.32279	0.5755
1226	59331.34648	0.1021
1227	59331.3467	0.2386
1228	59331.34908	0.2886
1229	59331.35181	0.6894
1230	59331.35344	2.4214
1231	59331.35934	1.5576
1232	59331.36012	2.6211
1233	59331.36574	0.164
1234	59331.39355	1.5778
1235	59331.39469	0.3627
1236	59331.39637	0.8454
1237	59331.39885	0.0706
1238	59331.39957	0.1598
1239	59331.40499	5.0654
1240	59331.40543	0.3779
1241	59334.22724	0.4019
1242	59334.22771	1.9835
1243	59334.22904	0.1517
1244	59334.23072	8.7661
1245	59334.23239	3.1725
1246	59334.23327	0.2821
1247	59334.23483	0.1098
1248	59334.23664	2.9966
1249	59334.23752	0.0493
1250	59334.2395	4.6027
1251	59334.23977	8.6952
1252	59334.24002	0.5512
1253	59334.24003	0.1482
1254	59334.24076	0.0586
1255	59334.24137	0.0538
1256	59334.24543	0.2318
1257	59334.24551	0.2013
1258	59334.26807	2.0667
1259	59334.26867	0.0522
1260	59334.26972	0.6525
1261	59334.26972	0.1944
1262	59334.27422	0.968
1263	59334.27733	0.1934
1264	59334.27733	0.407
1265	59334.27738	1.4699
1266	59334.27867	2.3507
1267	59334.27942	1.4651
1268	59334.27985	2.7141
1269	59334.28046	0.6125
1270	59334.28248	0.3862
1271	59334.28485	0.2571
1272	59334.28556	0.2397
1273	59334.28666	0.2514
1274	59334.31056	0.5453
1275	59334.31146	0.1402
1276	59334.3117	1.2781
1277	59334.31228	0.1314
1278	59334.31228	0.4526
1279	59334.31338	0.6093
1280	59334.31468	0.1582
1281	59334.31504	0.7624
1282	59334.31568	1.2144
1283	59334.3166	0.4186
1284	59334.31735	0.0598
1285	59334.31778	1.6251
1286	59334.31885	2.3069
1287	59334.31927	0.1325
1288	59334.31969	1.4862
1289	59334.31969	0.2901
1290	59334.32078	1.3366
1291	59334.32085	1.5272
1292	59334.32093	0.1707
1293	59334.3217	0.1477
1294	59334.32205	3.1893
1295	59334.3229	4.601
1296	59334.32483	0.804
1297	59334.32495	9.1283
1298	59334.32769	0.0173
1299	59334.32838	0.7346
1300	59334.32838	0.5778
1301	59334.35808	2.2203
1302	59334.35828	0.2168
1303	59334.35919	0.5176
1304	59334.35965	14.2962
1305	59334.3611	0.1248
1306	59334.36349	5.8696
1307	59334.3638	0.1667
1308	59334.36415	0.1387
1309	59334.36457	1.1437
1310	59334.36669	0.0922
1311	59334.37165	0.0402
1312	59334.37218	0.1149
1313	59334.37428	0.237
1314	59334.37444	0.3144
1315	59334.37445	0.1229
1316	59334.37496	8.5162
1317	59334.37496	0.9674
1318	59336.21509	1.2227
1319	59336.218	0.0907
1320	59336.21942	3.681
1321	59336.2201	0.0253
1322	59336.22027	0.4568
1323	59336.22533	2.432
1324	59336.23003	0.0506
1325	59336.23043	0.2598
1326	59336.24788	0.2251
1327	59336.24899	1.364
1328	59336.25056	0.6003
1329	59336.25084	0.8491
1330	59336.25475	0.8099
1331	59336.25718	0.2026
1332	59336.25744	0.0448
1333	59336.26037	0.5862
1334	59336.26151	0.064
1335	59336.26222	0.1976
1336	59336.26562	0.9634
1337	59336.26562	0.123
1338	59336.26569	0.3016
1339	59336.31133	1.2042
1340	59336.31361	0.8336
1341	59336.31682	1.5466
1342	59336.31704	0.7758
1343	59336.32137	0.2558
1344	59336.32146	4.4286
1345	59336.322	2.2162
1346	59336.32209	4.236
1347	59336.32549	0.2139
1348	59336.32735	0.1888
1349	59336.35773	0.3869
1350	59336.35962	6.1181
1351	59336.36726	0.8461
1352	59336.36832	0.171
1353	59336.36924	0.8461
1354	59336.37073	2.8256
1355	59337.20868	0.0586
1356	59337.21365	0.128
1357	59337.21411	0.4757
1358	59337.21411	0.1277
1359	59337.21693	4.4662
1360	59337.21728	1.2165
1361	59337.21728	3.8381
1362	59337.21952	0.4424
1363	59337.21955	5.0747
1364	59337.22247	1.2275
1365	59337.22247	0.5749
1366	59337.22247	2.7474
1367	59337.22424	2.0325
1368	59337.22517	0.2851
1369	59337.24896	0.368
1370	59337.25081	1.7443
1371	59337.25095	6.3784
1372	59337.25106	4.097
1373	59337.25415	1.46
1374	59337.25495	0.1386
1375	59337.25606	0.2298
1376	59337.25845	1.8482
1377	59337.25891	2.6533
1378	59337.26112	2.1611
1379	59337.26181	0.1205
1380	59337.26627	0.1402
1381	59337.26655	0.033
1382	59337.26663	0.0406
1383	59337.26675	5.8158
1384	59337.26693	0.2869
1385	59337.28856	1.0315
1386	59337.29035	0.0555
1387	59337.29035	0.0803
1388	59337.29197	3.7149
1389	59337.29423	1.8486
1390	59337.29521	1.1008
1391	59337.29583	0.2618
1392	59337.29712	1.4054
1393	59337.29845	0.0819
1394	59337.30552	0.1699
1395	59337.30559	0.7934
1396	59337.30574	2.1267
1397	59337.30682	6.82
1398	59337.33037	5.0323
1399	59337.33049	9.1627
1400	59337.33094	0.0248
1401	59337.33186	0.2698
1402	59337.33215	0.2309
1403	59337.33463	0.1392
1404	59337.34006	0.0496
1405	59337.34078	0.052
1406	59337.34093	0.2333
1407	59337.34117	0.0283
1408	59337.34161	0.2182
1409	59337.34487	0.1949
1410	59337.34487	0.2189
1411	59337.34545	0.5374
1412	59337.34614	1.2634
1413	59337.34679	67.3181
1414	59337.34728	0.0936
1415	59337.34749	0.4227
1416	59337.34886	0.0413
1417	59337.35026	3.6491
1418	59338.28506	5.1923
1419	59338.28528	2.8266
1420	59338.2862	0.0325
1421	59338.28839	0.0304
1422	59338.28841	0.2634
1423	59338.28841	3.985
1424	59338.29247	0.0486
1425	59338.38106	1.3229
1426	59338.38553	0.1838
1427	59338.38791	0.1482
1428	59338.39031	0.4678
1429	59338.39113	7.3864
1430	59339.25886	5.4051
1431	59339.25912	0.3539
1432	59339.25934	2.0499
1433	59339.26819	0.2742
1434	59339.26867	0.1062
1435	59339.26867	0.2066
1436	59339.26882	8.9125
1437	59339.26882	13.9768
1438	59339.26882	0.0592
1439	59339.27074	0.6453
1440	59339.27306	0.955
1441	59339.27358	2.8328
1442	59339.27594	2.0429
1443	59339.2764	0.3563
1444	59339.27695	1.033
1445	59339.31455	0.687
1446	59339.31748	7.2827
1447	59339.31989	1.6378
1448	59339.32652	0.076
1449	59340.18515	0.0739
1450	59340.19152	0.072
1451	59340.19152	0.0653
1452	59340.19554	0.2592
1453	59340.19629	0.1712
1454	59340.22399	0.1435
1455	59340.22777	1.1336
1456	59340.2345	0.7677
1457	59340.23737	0.3147
1458	59340.25561	0.5811
1459	59340.26087	0.0526
1460	59340.26087	0.603
1461	59340.26886	1.5115
1462	59340.27086	0.1877
1463	59340.27326	0.2638
1464	59340.29	3.6706
1465	59340.29	3.5485
1466	59340.29581	0.085
1467	59340.29926	0.528
1468	59341.20531	5.3712
1469	59341.21164	1.1222
1470	59341.21473	0.1907
1471	59341.24566	0.1832
1472	59341.2592	0.3202
1473	59341.28677	0.7238
1474	59341.29029	0.695
1475	59341.2927	0.0981
1476	59341.2948	3.6832
1477	59341.29668	0.1494
1478	59341.32681	0.5411
1479	59341.33826	1.0298
1480	59341.34035	4.8998
1481	59343.19189	0.9259
1482	59343.19926	1.9802
1483	59343.20046	0.1883
1484	59343.20615	0.3022
1485	59343.20615	0.1456
1486	59343.20615	2.4651
1487	59343.25236	0.7144
1488	59343.27737	0.6923
1489	59343.28712	7.1422
1490	59343.28747	0.1432
1491	59343.28873	0.3075
1492	59343.29335	0.4024
1493	59343.3308	10.908
1494	59344.22692	0.3315
1495	59344.23567	0.0722
1496	59344.26734	0.1306
1497	59344.27743	4.7126
1498	59344.28431	0.9403
1499	59344.31271	1.6442
1500	59344.31578	2.8586
1501	59344.32076	0.0538
1502	59344.32383	0.3885
1503	59344.32673	0.471
1504	59344.35994	0.0914
1505	59345.23375	5.9741
1506	59345.24685	0.4538
1507	59345.27404	1.0653
1508	59345.28	0.4821
1509	59345.28382	2.3758
1510	59345.28495	0.564
1511	59345.28515	0.2851
1512	59345.31441	0.0688
1513	59345.31869	0.4224
1514	59345.31891	2.3309
1515	59345.32013	0.5078
1516	59345.3226	0.941
1517	59345.32989	0.3885
1518	59345.35483	8.2272
1519	59345.35825	3.1491
1520	59345.36201	0.0323
1521	59345.36224	0.5677
1522	59345.36431	0.6061
1523	59345.37077	0.0998
1524	59346.28129	0.4917
1525	59346.28188	0.5694
1526	59346.2863	6.1142
1527	59346.28846	0.2282
1528	59346.29415	0.2261
1529	59346.30371	0.2656
1530	59346.30512	7.1408
1531	59346.32045	0.2067
1532	59346.33596	1.84
1533	59346.3463	0.4518
1534	59346.34714	4.736
1535	59346.35001	6.6064
1536	59346.35064	5.0976
1537	59346.36141	0.4142
1538	59346.36933	0.2285
1539	59346.37428	1.0275
1540	59347.16155	0.5434
1541	59347.17321	3.8787
1542	59347.17353	0.387
1543	59347.17353	5.4728
1544	59347.17353	1.8523
1545	59347.17814	0.4971
1546	59347.18072	1.4955
1547	59347.21983	0.1418
1548	59347.22308	0.0827
1549	59347.22336	0.6317
1550	59347.22336	1.2099
1551	59347.22336	3.373
1552	59347.22609	0.0995
1553	59347.23113	0.1666
1554	59347.24497	1.4942
1555	59347.24595	1.1306
1556	59347.24769	1.3654
1557	59347.24931	0.6797
1558	59347.258	7.3205
1559	59347.25843	1.7062
1560	59347.26034	1.8598
1561	59347.26064	0.2984
1562	59347.2947	3.6853
1563	59347.29704	0.2408
1564	59347.30172	0.3338
1565	59348.19316	18.999
1566	59348.19342	0.3702
1567	59348.19582	0.0507
1568	59348.19675	0.2384
1569	59348.19926	2.752
1570	59348.19995	8.5179
1571	59348.20214	0.0962
1572	59348.20293	0.2008
1573	59348.20322	1.7232
1574	59348.20331	3.2203
1575	59348.22902	0.2202
1576	59348.23224	0.2691
1577	59348.23224	2.1517
1578	59348.23224	8.9341
1579	59348.23457	0.1314
1580	59348.23743	0.4488
1581	59348.23782	0.5325
1582	59348.23787	2.2054
1583	59348.23853	0.6789
1584	59348.23938	2.9626
1585	59348.23981	1.8045
1586	59348.24158	0.2035
1587	59348.27222	6.6238
1588	59348.27269	1.507
1589	59348.27269	0.4325
1590	59348.2729	0.2144
1591	59348.27834	0.0771
1592	59348.27894	5.8384
1593	59348.27894	1.5749
1594	59348.27894	5.336
1595	59348.27908	0.0397
1596	59348.28253	0.7053
1597	59348.28658	1.8363
1598	59348.28807	0.6146
1599	59348.3272	1.0536
1600	59348.32744	0.4019
1601	59348.33436	0.3336
1602	59348.33436	0.1957
1603	59348.3344	1.3277
1604	59348.3344	0.3496
1605	59348.33456	0.9531
1606	59348.33626	2.7152
1607	59348.33626	2.168
1608	59348.33737	0.7546
1609	59349.16941	0.3709
1610	59349.17005	0.0562
1611	59349.17649	0.8533
1612	59349.17746	0.1008
1613	59349.17845	3.2741
1614	59349.21021	0.3734
1615	59349.21216	0.1618
1616	59349.2157	0.0939
1617	59349.2157	0.2579
1618	59349.21574	0.8979
1619	59349.21574	2.2245
1620	59349.21911	0.4349
1621	59349.22078	1.489
1622	59349.22085	3.828
1623	59349.24656	1.9499
1624	59349.2468	3.039
1625	59349.25158	0.6168
1626	59349.25376	4.8134
1627	59349.25612	6.2534
1628	59349.29663	0.1414
1629	59349.29723	0.0899
1630	59349.29813	0.9762
1631	59349.30009	1.1574
1632	59349.3058	0.1715
1633	59349.30826	0.9723
1634	59349.30982	1.1413
1635	59350.16328	2.6296
1636	59350.16338	4.0291
1637	59350.1654	1.0974
1638	59350.16804	0.3365
1639	59350.1793	2.0912
1640	59350.18311	2.7541
1641	59350.20478	0.1595
1642	59350.20698	0.2349
1643	59350.20871	0.5445
1644	59350.21171	0.061
1645	59350.21642	7.184
1646	59350.21827	0.1174
1647	59350.22018	0.9125
1648	59350.22459	1.0613
1649	59350.25453	0.4362
1650	59350.25462	1.2624
1651	59350.25477	0.0696
1652	59350.25555	3.6626
1653	59350.25672	0.0744
1654	59350.25735	0.9026
1655	59350.25827	0.5453
1656	59350.25832	0.3355
1657	59350.25947	0.1936
1658	59350.26022	1.4406
1659	59350.2639	0.8251
1660	59350.26424	0.3659
1661	59350.26468	2.6115
1662	59350.26468	2.1448
1663	59350.26567	2.3248
1664	59350.26982	2.2952
1665	59350.27127	0.1234
1666	59350.27162	0.569
1667	59350.30391	0.5003
1668	59350.30419	0.204
1669	59350.30885	3.4562
1670	59350.31406	0.3275
1671	59350.3162	2.8661
1672	59350.31746	0.8126
1673	59350.3189	1.7147
1674	59351.16746	3.7098
1675	59351.1687	0.8384
1676	59351.17113	0.404
1677	59351.17114	1.4102
1678	59351.17339	2.7406
1679	59351.17638	0.2475
1680	59351.18103	0.6584
1681	59351.18154	0.1069
1682	59351.18172	2.1029
1683	59351.19515	1.507
1684	59351.19518	7.4862
1685	59351.20418	0.0432
1686	59351.20716	0.1898
1687	59351.20752	0.876
1688	59351.20773	2.9138
1689	59351.20783	0.2797
1690	59351.20942	0.0867
1691	59351.2107	3.7042
1692	59351.21287	0.1226
1693	59351.21417	0.237
1694	59351.22859	5.377
1695	59351.22971	4.3258
1696	59351.23256	0.0494
1697	59351.23314	0.1704
1698	59351.23747	0.179
1699	59351.23911	0.096
1700	59351.23957	0.3101
1701	59351.24063	4.4907
1702	59351.24546	0.2826
1703	59351.25713	0.1245
1704	59351.2588	0.0794
1705	59351.25903	0.1992
1706	59351.25909	6.375
1707	59351.25927	0.1875
1708	59351.26019	4.7746
1709	59351.26425	0.0339
1710	59351.2647	0.2179
1711	59351.26523	0.2504
1712	59351.26641	1.3278
1713	59351.26845	0.0739
1714	59351.27318	2.272
1715	59351.27354	0.0798
1716	59351.27389	2.7875
1717	59352.24649	0.2691
1718	59352.24698	3.9635
1719	59352.25657	0.1384
1720	59352.25842	0.3126
1721	59352.25983	0.1139
1722	59352.26433	3.7299
1723	59352.26521	1.8699
1724	59352.26521	2.5285
1725	59352.27764	5.2958
1726	59352.27847	1.4296
1727	59352.27981	1.6368
1728	59352.28038	0.1187
1729	59352.28038	0.591
1730	59352.28324	2.9595
1731	59352.2835	0.2827
1732	59352.28844	1.1064
1733	59352.29076	5.7181
1734	59352.29174	1.821
1735	59352.29753	1.0518
1736	59352.311	0.5646
1737	59352.31476	1.488
1738	59352.3186	0.4624
1739	59352.31881	1.8942
1740	59352.3199	0.2354
1741	59352.32114	0.7507
1742	59352.32133	0.3573
1743	59352.32176	1.0365
1744	59352.32234	2.0654
1745	59352.32686	0.0886
1746	59352.32812	0.5085
1747	59352.34066	0.0693
1748	59352.34198	0.9771
1749	59352.34207	0.5766
1750	59352.34262	0.2414
1751	59352.34489	0.1787
1752	59352.34979	1.2152
1753	59352.35203	0.3322
1754	59352.35286	3.625
1755	59352.3538	0.4917
1756	59352.3574	0.3974
1757	59352.3574	0.7954
1758	59353.23347	0.3016
1759	59353.23892	0.095
1760	59353.23951	1.9678
1761	59353.24054	1.5698
1762	59353.24099	4.531
1763	59353.24502	1.2824
1764	59353.24583	0.631
1765	59353.24671	1.0075
1766	59353.24904	4.6611
1767	59353.24991	0.879
1768	59353.25222	0.1333
1769	59353.25222	0.2901
1770	59353.25225	0.0934
1771	59353.25233	0.3021
1772	59353.2767	0.1035
1773	59353.27672	0.791
1774	59353.27712	0.5445
1775	59353.2783	0.6168
1776	59353.2788	0.2523
1777	59353.27914	0.4125
1778	59353.28129	0.735
1779	59353.2816	0.1997
1780	59353.28348	0.229
1781	59353.28483	0.7893
1782	59353.28716	0.7467
1783	59353.29212	0.9437
1784	59353.29244	0.1344
1785	59354.13845	1.74
1786	59354.14137	0.2096
1787	59354.1438	0.3795
1788	59354.1438	2.1866
1789	59354.14765	0.4602
1790	59354.14774	0.0445
1791	59354.14932	3.0586
1792	59354.1512	0.7605
1793	59354.15193	0.9469
1794	59354.15433	0.459
1795	59354.15469	0.1163
1796	59354.15671	3.272
1797	59354.15725	0.6557
1798	59354.17791	0.096
1799	59354.17898	1.8291
1800	59354.18196	0.3048
1801	59354.18319	0.1838
1802	59354.18343	0.2152
1803	59354.18587	0.3536
1804	59354.18851	6.201
1805	59354.18897	0.2672
1806	59354.19103	0.1466
1807	59354.19242	0.084
1808	59357.13344	0.8299
1809	59357.13367	0.1725
1810	59357.13399	2.5806
1811	59357.13493	2.5318
1812	59357.13696	0.1682
1813	59357.13735	0.3659
1814	59357.13827	0.1213
1815	59357.13928	0.6469
1816	59357.13928	0.844
1817	59357.14046	2.1742
1818	59357.14469	0.8315
1819	59357.14469	0.1067
1820	59357.14469	0.1248
1821	59357.16695	0.5141
1822	59357.16731	0.4374
1823	59357.16797	0.084
1824	59357.1689	1.0613
1825	59357.1689	3.1958
1826	59357.16912	0.5586
1827	59357.16952	0.0853
1828	59357.16984	0.3811
1829	59357.17111	0.1707
1830	59357.17437	1.4378
1831	59357.17919	0.1173
1832	59357.17919	0.5819
1833	59357.18233	0.288
1834	59357.18412	5.0285
1835	59357.18438	0.0909
1836	59360.12506	0.061
1837	59360.12565	0.071
1838	59360.13126	0.8635
1839	59360.13178	1.7717
1840	59360.13227	0.3552
1841	59360.13427	0.073
1842	59360.13427	1.6765
1843	59360.13427	1.5976
1844	59360.13584	0.3014
1845	59360.13745	0.5099
1846	59360.1388	1.9242
1847	59360.14438	2.3798
1848	59360.15952	0.9843
1849	59360.16562	0.345
1850	59360.16718	2.4693
1851	59360.16759	4.2306
1852	59360.16818	0.0659
1853	59360.16818	0.3451
1854	59360.16836	0.1581
1855	59360.16865	1.876
1856	59360.16902	3.7848
1857	59360.17246	0.159
1858	59360.17382	0.6699
1859	59360.17413	1.3518
1860	59360.17562	0.0482
1861	59360.17605	6.3206
1862	59360.17698	0.9506
1863	59360.17901	2.3163

FAST (Zhang et al. 2022, RAA, 22, 124002)
Burst	TOA (MJD)	Fluece (Jy ms)
1	59482.94451 	0.041
2	59482.94673 	0.108
3	59482.94701 	0.026
4	59482.94712 	0.02
5	59482.94736 	0.043
6	59482.94758 	0.031
7	59482.94769 	1.787
8	59482.95005 	0.395
9	59482.95226 	0.143
10	59482.95326 	0.23
11	59482.95326 	0.369
12	59482.95355 	0.03
13	59482.95379 	0.02
14	59482.95569 	0.114
15	59482.95927 	1.537
16	59482.96155 	5.403
17	59482.96157 	0.022
18	59482.96238 	0.128
19	59482.96311 	0.063
20	59482.96557 	0.435
21	59482.96594 	0.061
22	59482.96594 	1.825
23	59482.96645 	0.021
24	59482.96645 	0.029
25	59482.96783 	0.067
26	59482.97383 	1.058
27	59482.97432 	0.738
28	59482.97432 	0.069
29	59482.97862 	0.033
30	59482.97882 	0.027
31	59482.98046 	3.678
32	59482.98046 	0.309
33	59482.98112 	0.056
34	59482.98135 	0.182
35	59482.98284 	0.061
36	59483.86469 	0.379
37	59483.86524 	0.023
38	59483.86609 	0.218
39	59483.86610 	0.036
40	59483.86631 	0.757
41	59483.86635 	2.147
42	59483.86635 	0.034
43	59483.86635 	1.694
44	59483.86703 	0.42
45	59483.86744 	0.135
46	59483.86908 	0.188
47	59483.86952 	0.012
48	59483.87008 	0.246
49	59483.87010 	1.47
50	59483.87092 	0.934
51	59483.87094 	0.23
52	59483.87107 	0.015
53	59483.87161 	0.035
54	59483.87178 	0.133
55	59483.87178 	0.059
56	59483.87224 	0.669
57	59483.87254 	0.048
58	59483.87293 	0.151
59	59483.87411 	0.041
60	59483.87411 	0.105
61	59483.87435 	0.057
62	59483.87435 	0.067
63	59483.87506 	0.315
64	59483.87506 	0.036
65	59483.87540 	0.214
66	59483.87630 	0.346
67	59483.87630 	0.026
68	59483.87828 	3.544
69	59483.87860 	1.065
70	59483.87868 	0.685
71	59483.87907 	0.104
72	59483.87986 	1.886
73	59483.88023 	0.51
74	59483.88047 	0.067
75	59483.88081 	0.02
76	59483.88112 	0.101
77	59483.88363 	0.912
78	59483.88384 	1.19
79	59483.88484 	0.422
80	59483.88571 	0.1
81	59483.88745 	0.37
82	59483.88766 	0.05
83	59483.89123 	0.025
84	59483.89170 	0.041
85	59483.89222 	0.857
86	59483.89281 	0.469
87	59483.89281 	0.042
88	59483.89464 	0.072
89	59483.89508 	0.027
90	59483.89566 	1.368
91	59483.89570 	0.105
92	59483.89588 	0.114
93	59483.89604 	0.038
94	59483.89627 	0.262
95	59483.89663 	0.055
96	59483.89676 	0.044
97	59483.89767 	0.051
98	59483.89824 	0.212
99	59483.89880 	0.039
100	59483.89930 	0.098
101	59483.89954 	0.056
102	59483.90142 	2.382
103	59483.90157 	0.012
104	59483.90202 	0.063
105	59483.90235 	1.279
106	59483.90245 	0.629
107	59483.90245 	0.074
108	59484.81506 	0.036
109	59484.81507 	0.092
110	59484.81508 	0.034
111	59484.81519 	0.022
112	59484.81554 	0.043
113	59484.81563 	0.696
114	59484.81572 	0.693
115	59484.81608 	0.414
116	59484.81608 	2.09
117	59484.81620 	0.066
118	59484.81648 	0.383
119	59484.81656 	0.975
120	59484.81656 	0.051
121	59484.81706 	0.809
122	59484.81711 	1.64
123	59484.81711 	0.048
124	59484.81711 	4.25
125	59484.81756 	1.201
126	59484.81756 	2.643
127	59484.81778 	0.052
128	59484.81780 	0.069
129	59484.81798 	0.901
130	59484.81856 	0.174
131	59484.81946 	0.133
132	59484.81946 	1.745
133	59484.81946 	0.486
134	59484.81999 	0.337
135	59484.82009 	0.037
136	59484.82019 	0.042
137	59484.82025 	0.012
138	59484.82127 	0.027
139	59484.82131 	0.327
140	59484.82131 	0.394
141	59484.82136 	0.82
142	59484.82178 	0.419
143	59484.82186 	0.236
144	59484.82212 	0.053
145	59484.82219 	1.374
146	59484.82219 	0.239
147	59484.82256 	0.021
148	59484.82265 	0.404
149	59484.82273 	0.118
150	59484.82273 	1.879
151	59484.82278 	1.264
152	59484.82282 	9.653
153	59484.82295 	0.394
154	59484.82300 	0.043
155	59484.82363 	0.572
156	59484.82363 	2.511
157	59484.82363 	0.22
158	59484.82365 	0.218
159	59484.82378 	0.118
160	59484.82387 	0.042
161	59484.82390 	0.15
162	59484.82407 	0.025
163	59484.82463 	0.038
164	59484.82466 	0.186
165	59484.82466 	0.197
166	59484.82466 	5.366
167	59484.82496 	0.064
168	59484.82512 	0.083
169	59484.82512 	0.908
170	59484.82517 	0.005
171	59484.82517 	0.029
172	59484.82531 	0.118
173	59484.82531 	0.064
174	59484.82531 	0.081
175	59484.82531 	0.014
176	59484.82708 	0.79
177	59484.82708 	0.212
178	59484.82738 	0.229
179	59484.82738 	2.056
180	59484.82771 	0.082
181	59484.82771 	0.226
182	59484.82808 	0.069
183	59484.82883 	0.27
184	59484.82891 	0.248
